Account_date,forecast,wh_name,wh_code,sku_code,sku_name,sales_qty,MAE,MAPE,RMSPE
2020-03-11,1268.0,杭州配送中心,001,07450,泰国桂圆,1367.954,99.95399999999995,0.010438320920983344,37.77906093516428
2020-03-12,1290.0,杭州配送中心,001,07450,泰国桂圆,1058.846000000001,231.1539999999991,0.031186782591613737,87.36799979397456
2020-03-13,1285.0,杭州配送中心,001,07450,泰国桂圆,1654.598000000003,369.5980000000029,0.03191090179349583,139.69491329526548
2020-03-14,1311.0,杭州配送中心,001,07450,泰国桂圆,1880.2060000000006,569.2060000000006,0.043247996686077435,215.13964582369042
2020-03-15,1286.0,杭州配送中心,001,07450,泰国桂圆,2020.6040000000012,734.6040000000012,0.0519366627856961,277.6542137304708
2020-03-16,1273.0,杭州配送中心,001,07450,泰国桂圆,1549.3320000000017,276.3320000000017,0.025479367882416552,104.44367875558642
2020-03-17,1261.0,杭州配送中心,001,07450,泰国桂圆,1104.4440000000006,156.55599999999936,0.02025013749646225,59.172606036432335
2020-03-11,7289.0,杭州配送中心,001,07470,台湾凤梨,8371.586999999998,1082.5869999999977,0.018473831271691426,409.1794249416394
2020-03-12,7271.0,杭州配送中心,001,07470,台湾凤梨,13219.624000000005,5948.624000000005,0.06428347951283857,2248.3685352900434
2020-03-13,8064.0,杭州配送中心,001,07470,台湾凤梨,19221.979,11157.979,0.08292574869632309,4217.319652583024
2020-03-14,10100.0,杭州配送中心,001,07470,台湾凤梨,32369.264299999984,22269.264299999984,0.09828222977031241,8416.990745452691
2020-03-15,9940.0,杭州配送中心,001,07470,台湾凤梨,31201.36600000001,21261.36600000001,0.09734631490172578,8036.0409956463045
2020-03-16,7521.0,杭州配送中心,001,07470,台湾凤梨,19164.857000000004,11643.857000000004,0.08679470673103082,4400.964274799802
2020-03-17,7320.0,杭州配送中心,001,07470,台湾凤梨,21587.86280000001,14267.86280000001,0.09441722569617751,5392.745244169961
2020-03-11,965.0,杭州配送中心,001,07540,优选泰国桂圆,1073.8591,108.8590999999999,0.014481695038017547,41.14487236375873
2020-03-12,924.0,杭州配送中心,001,07540,优选泰国桂圆,1085.6267999999995,161.62679999999955,0.021268397995648967,61.0891882861676
2020-03-13,1030.0,杭州配送中心,001,07540,优选泰国桂圆,1327.8683000000003,297.8683000000003,0.032045809276201806,112.58363503565452
2020-03-14,1040.0,杭州配送中心,001,07540,优选泰国桂圆,1625.5044,585.5044,0.051456942050901684,221.2998619905838
2020-03-15,1028.0,杭州配送中心,001,07540,优选泰国桂圆,1323.6325,295.63249999999994,0.0319070544775187,111.73858206690035
2020-03-16,925.0,杭州配送中心,001,07540,优选泰国桂圆,987.4177999999999,62.41779999999994,0.009030451518524949,23.591710883395322
2020-03-17,959.0,杭州配送中心,001,07540,优选泰国桂圆,1035.2642,76.26420000000007,0.010523773268973972,28.825158162470334
2020-03-11,37.0,杭州配送中心,001,07640,智利车厘子J,45.97100000000002,8.971000000000018,0.02787782359686391,3.3907192873657843
2020-03-12,36.0,杭州配送中心,001,07640,智利车厘子J,53.55,17.549999999999997,0.046818727490996394,6.633276501311936
2020-03-13,39.0,杭州配送中心,001,07640,智利车厘子J,33.54,5.460000000000001,0.02325581395348838,2.0636860226303813
2020-03-14,37.0,杭州配送中心,001,07640,智利车厘子J,47.680000000000014,10.680000000000014,0.03199904122722918,4.036660571738552
2020-03-15,38.0,杭州配送中心,001,07640,智利车厘子J,27.96,10.04,0.05129777232781524,3.794763309012641
2020-03-16,35.0,杭州配送中心,001,07640,智利车厘子J,19.24,15.760000000000002,0.11701811701811704,5.956720094625422
2020-03-17,38.0,杭州配送中心,001,07640,智利车厘子J,14.18,23.82,0.23997582107596213,9.003113747079793
2020-03-11,2.0,杭州配送中心,001,07660,二盒一车厘子（J）,1.77,0.22999999999999998,0.018563357546408393,0.08693182879212225
2020-03-12,1.0,杭州配送中心,001,07660,二盒一车厘子（J）,1.08,0.08000000000000007,0.010582010582010592,0.030237157840738205
2020-03-13,2.0,杭州配送中心,001,07660,二盒一车厘子（J）,2.0,0.0,0.0,0.0
2020-03-14,1.0,杭州配送中心,001,07660,二盒一车厘子（J）,5.76,4.76,0.11805555555555555,1.7991108915239216
2020-03-15,2.0,杭州配送中心,001,07660,二盒一车厘子（J）,0.53,1.47,0.3962264150943396,0.555607775323564
2020-03-16,2.0,杭州配送中心,001,07660,二盒一车厘子（J）,1.19,0.81,0.09723889555822329,0.3061512231374741
2020-03-17,2.0,杭州配送中心,001,07660,二盒一车厘子（J）,1.49,0.51,0.0488974113135187,0.1927618812347059
2020-03-11,1.0,杭州配送中心,001,07680,六合一车厘子(J),0.0,1.0,inf,0.3779644730092272
2020-03-12,1.0,杭州配送中心,001,07680,六合一车厘子(J),0.0,1.0,inf,0.3779644730092272
2020-03-13,1.0,杭州配送中心,001,07680,六合一车厘子(J),0.0,1.0,inf,0.3779644730092272
2020-03-14,1.0,杭州配送中心,001,07680,六合一车厘子(J),0.0,1.0,inf,0.3779644730092272
2020-03-15,1.0,杭州配送中心,001,07680,六合一车厘子(J),0.0,1.0,inf,0.3779644730092272
2020-03-16,1.0,杭州配送中心,001,07680,六合一车厘子(J),0.0,1.0,inf,0.3779644730092272
2020-03-17,1.0,杭州配送中心,001,07680,六合一车厘子(J),0.0,1.0,inf,0.3779644730092272
2020-03-11,17.0,杭州配送中心,001,07690,智利车厘子XL（4斤装）,0.0,17.0,inf,6.425396041156863
2020-03-12,18.0,杭州配送中心,001,07690,智利车厘子XL（4斤装）,0.0,18.0,inf,6.80336051416609
2020-03-13,17.0,杭州配送中心,001,07690,智利车厘子XL（4斤装）,0.0,17.0,inf,6.425396041156863
2020-03-14,17.0,杭州配送中心,001,07690,智利车厘子XL（4斤装）,0.0,17.0,inf,6.425396041156863
2020-03-15,17.0,杭州配送中心,001,07690,智利车厘子XL（4斤装）,0.0,17.0,inf,6.425396041156863
2020-03-16,18.0,杭州配送中心,001,07690,智利车厘子XL（4斤装）,0.0,18.0,inf,6.80336051416609
2020-03-17,18.0,杭州配送中心,001,07690,智利车厘子XL（4斤装）,0.0,18.0,inf,6.80336051416609
2020-03-11,11.0,杭州配送中心,001,07700,科迪亚车厘子,7.1,3.9000000000000004,0.07847082494969819,1.4740614447359863
2020-03-12,12.0,杭州配送中心,001,07700,科迪亚车厘子,13.81,1.8100000000000005,0.0187234922933692,0.6841156961467015
2020-03-13,16.0,杭州配送中心,001,07700,科迪亚车厘子,4.63,11.370000000000001,0.35081764887380446,4.297456058114913
2020-03-14,16.0,杭州配送中心,001,07700,科迪亚车厘子,4.49,11.51,0.36621062678969135,4.350371084336206
2020-03-15,17.0,杭州配送中心,001,07700,科迪亚车厘子,4.67,12.33,0.37717956561639643,4.660301952203771
2020-03-16,14.0,杭州配送中心,001,07700,科迪亚车厘子,3.5700000000000003,10.43,0.41736694677871145,3.94216945348624
2020-03-17,15.0,杭州配送中心,001,07700,科迪亚车厘子,0.87,14.13,2.3201970443349755,5.3406380036203815
