,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate
92,"['【进口】香蕉-500~550g/份', '鲜丰玉麒麟西瓜-半只约4-5斤', '新疆蜜瓜-半只3-3.5斤']",71.39999999999999,"[5.8074074074074105, 17.799999999999997, 18.3]",41.907407407407405,"[9.8, 32.8, 28.8]","[1, 1, 1]"
93,"['【进口】香蕉-500~550g/份', '鲜丰玉麒麟西瓜-半只约4-5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",81.39999999999999,"[5.8074074074074105, 17.799999999999997, 19.799999999999997]",43.407407407407405,"[9.8, 32.8, 38.8]","[1, 1, 1]"
94,"['【进口】香蕉-500~550g/份', '新疆蜜瓜-半只3-3.5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",77.4,"[5.8074074074074105, 18.3, 19.799999999999997]",43.907407407407405,"[9.8, 28.8, 38.8]","[1, 1, 1]"
103,"['新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '【进口】越南白火龙果-450-500g/只']",36.400000000000006,"[6.6000000000000005, 7.300000000000001, 6.44]",20.340000000000003,"[10.8, 12.8, 12.8]","[1, 1, 1]"
107,"['新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '鲜丰玉麒麟西瓜-半只约4-5斤']",56.4,"[6.6000000000000005, 7.300000000000001, 17.799999999999997]",31.7,"[10.8, 12.8, 32.8]","[1, 1, 1]"
108,"['新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '新疆蜜瓜-半只3-3.5斤']",52.400000000000006,"[6.6000000000000005, 7.300000000000001, 18.3]",32.2,"[10.8, 12.8, 28.8]","[1, 1, 1]"
109,"['新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '【进口】菲律宾凤梨-1.8-1.9kg/只']",62.4,"[6.6000000000000005, 7.300000000000001, 19.799999999999997]",33.7,"[10.8, 12.8, 38.8]","[1, 1, 1]"
121,"['新疆无籽黑提-约300g', '凯特芒芒果-1只700-800g', '红心猕猴桃-1盒5只']",59.400000000000006,"[6.6000000000000005, 16.200000000000003, 14.0]",36.800000000000004,"[10.8, 25.8, 22.8]","[1, 1, 1]"
122,"['新疆无籽黑提-约300g', '凯特芒芒果-1只700-800g', '鲜丰玉麒麟西瓜-半只约4-5斤']",69.4,"[6.6000000000000005, 16.200000000000003, 17.799999999999997]",40.6,"[10.8, 25.8, 32.8]","[1, 1, 1]"
124,"['新疆无籽黑提-约300g', '凯特芒芒果-1只700-800g', '【进口】菲律宾凤梨-1.8-1.9kg/只']",75.4,"[6.6000000000000005, 16.200000000000003, 19.799999999999997]",42.6,"[10.8, 25.8, 38.8]","[1, 1, 1]"
125,"['新疆无籽黑提-约300g', '红心猕猴桃-1盒5只', '鲜丰玉麒麟西瓜-半只约4-5斤']",66.4,"[6.6000000000000005, 14.0, 17.799999999999997]",38.4,"[10.8, 22.8, 32.8]","[1, 1, 1]"
126,"['新疆无籽黑提-约300g', '红心猕猴桃-1盒5只', '新疆蜜瓜-半只3-3.5斤']",62.400000000000006,"[6.6000000000000005, 14.0, 18.3]",38.900000000000006,"[10.8, 22.8, 28.8]","[1, 1, 1]"
127,"['新疆无籽黑提-约300g', '红心猕猴桃-1盒5只', '【进口】菲律宾凤梨-1.8-1.9kg/只']",72.4,"[6.6000000000000005, 14.0, 19.799999999999997]",40.4,"[10.8, 22.8, 38.8]","[1, 1, 1]"
128,"['新疆无籽黑提-约300g', '鲜丰玉麒麟西瓜-半只约4-5斤', '新疆蜜瓜-半只3-3.5斤']",72.39999999999999,"[6.6000000000000005, 17.799999999999997, 18.3]",42.7,"[10.8, 32.8, 28.8]","[1, 1, 1]"
129,"['新疆无籽黑提-约300g', '鲜丰玉麒麟西瓜-半只约4-5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",82.39999999999999,"[6.6000000000000005, 17.799999999999997, 19.799999999999997]",44.199999999999996,"[10.8, 32.8, 38.8]","[1, 1, 1]"
130,"['新疆无籽黑提-约300g', '新疆蜜瓜-半只3-3.5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",78.4,"[6.6000000000000005, 18.3, 19.799999999999997]",44.7,"[10.8, 28.8, 38.8]","[1, 1, 1]"
132,"['泰国桂圆-约250-300g/份', '云南蜜桔子-450-500g', '樱桃小番茄-约500g/盒']",37.400000000000006,"[6.700000000000001, 7.300000000000001, 7.800000000000001]",21.800000000000004,"[11.8, 12.8, 12.8]","[1, 1, 1]"
136,"['泰国桂圆-约250-300g/份', '云南蜜桔子-450-500g', '新疆蜜瓜-半只3-3.5斤']",53.400000000000006,"[6.700000000000001, 7.300000000000001, 18.3]",32.300000000000004,"[11.8, 12.8, 28.8]","[1, 1, 1]"
141,"['泰国桂圆-约250-300g/份', '【进口】越南白火龙果-450-500g/只', '鲜丰玉麒麟西瓜-半只约4-5斤']",57.4,"[6.700000000000001, 6.44, 17.799999999999997]",30.939999999999998,"[11.8, 12.8, 32.8]","[1, 1, 1]"
143,"['泰国桂圆-约250-300g/份', '【进口】越南白火龙果-450-500g/只', '【进口】菲律宾凤梨-1.8-1.9kg/只']",63.4,"[6.700000000000001, 6.44, 19.799999999999997]",32.94,"[11.8, 12.8, 38.8]","[1, 1, 1]"
