,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
162,【菲律宾】进口香蕉-约450~500g/份,10.448712000000002,41.6667%,6.9,2.5000000000000018,0.871794871794872,52.0,29.488712000000003
163,【脆甜】冰糖冬枣-约半斤,10.448712000000002,56.6667%,6.6,3.4000000000000004,1.0,52.0,29.488712000000003
164,【满山红】红富士苹果75#-约1斤,12.614712000000003,-20.4095%,22.8,-4.4901,0.0015,53.0,30.104712000000003
165,【甜蜜现剥】菠萝蜜-约250-300g,12.614712000000003,147.1429%,7.8,10.3,0.868421052631579,53.0,30.104712000000003
166,【菲律宾】进口香蕉-约450~500g/份,12.614712000000003,35.7143%,7.6,2.5000000000000018,0.871794871794872,53.0,30.104712000000003
167,【真的超甜】黄蒂柑橘子1个,12.614712000000003,94.1667%,6.6,5.6499999999999995,1.0,53.0,30.104712000000003
168,【满山红】红富士苹果75#-约1斤,9.684712000000001,-20.4095%,22.8,-4.4901,0.0015,54.0,29.224712000000004
169,【甜蜜现剥】菠萝蜜-约250-300g,9.684712000000001,147.1429%,7.8,10.3,0.868421052631579,54.0,29.224712000000004
170,【菲律宾】进口香蕉-约450~500g/份,9.684712000000001,41.6667%,6.6,2.5000000000000018,0.871794871794872,54.0,29.224712000000004
171,【皮薄水润】东江湖蜜桔子-450-500g,9.684712000000001,43.3333%,6.6,2.5999999999999996,1.0,54.0,29.224712000000004
172,【满山红】红富士苹果75#-约1斤,21.628712000000007,-20.4095%,22.8,-4.4901,0.0015,55.0,52.36871200000001
173,【甜蜜现剥】菠萝蜜-约250-300g,21.628712000000007,29.4286%,35.8,10.3,0.868421052631579,55.0,52.36871200000001
174,【杨果铺】嘴强大脑奶香核桃-1包500g,21.628712000000007,280.0000%,6.9,16.800000000000004,0.916201117318436,55.0,52.36871200000001
175,【脆甜】冰糖冬枣-约半斤,21.628712000000007,56.6667%,6.6,3.4000000000000004,1.0,55.0,52.36871200000001
176,【满山红】红富士苹果75#-约1斤,23.794712000000008,-20.4095%,22.8,-4.4901,0.0015,56.0,52.98471200000001
177,【甜蜜现剥】菠萝蜜-约250-300g,23.794712000000008,29.4286%,35.8,10.3,0.868421052631579,56.0,52.98471200000001
178,【杨果铺】嘴强大脑奶香核桃-1包500g,23.794712000000008,240.0000%,7.6,16.800000000000004,0.916201117318436,56.0,52.98471200000001
179,【真的超甜】黄蒂柑橘子1个,23.794712000000008,94.1667%,6.6,5.6499999999999995,1.0,56.0,52.98471200000001
180,【满山红】红富士苹果75#-约1斤,20.864712000000004,-20.4095%,22.8,-4.4901,0.0015,57.0,52.10471200000001
181,【甜蜜现剥】菠萝蜜-约250-300g,20.864712000000004,29.4286%,35.8,10.3,0.868421052631579,57.0,52.10471200000001
182,【杨果铺】嘴强大脑奶香核桃-1包500g,20.864712000000004,280.0000%,6.6,16.800000000000004,0.916201117318436,57.0,52.10471200000001
183,【皮薄水润】东江湖蜜桔子-450-500g,20.864712000000004,43.3333%,6.6,2.5999999999999996,1.0,57.0,52.10471200000001
184,【满山红】红富士苹果75#-约1斤,13.502712,-20.4095%,22.8,-4.4901,0.0015,58.0,30.192712000000004
185,【甜蜜现剥】菠萝蜜-约250-300g,13.502712,171.6667%,6.9,10.3,0.868421052631579,58.0,30.192712000000004
186,【脆甜】冰糖冬枣-约半斤,13.502712,48.5714%,7.6,3.4000000000000004,1.0,58.0,30.192712000000004
187,【真的超甜】黄蒂柑橘子1个,13.502712,94.1667%,6.6,5.6499999999999995,1.0,58.0,30.192712000000004
188,【满山红】红富士苹果75#-约1斤,10.572712,-20.4095%,22.8,-4.4901,0.0015,59.0,29.312712000000005
