,当前组合商品名称,总毛利,总毛利率,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,每款商品的活动价,毛利排名,该组合下客户最终的订单金额
0,阳光玫瑰葡萄1份-约500g,19.36,12.7738%,-11.42%,133.0,-28.4,0.1,133.0,175.0,151.56
1,甄选车厘子（JJ）-1斤,19.36,12.7738%,97.74%,29.8,53.0,1.0,29.8,175.0,151.56
2,花生糖/芝麻粮任选1包(500g),19.36,12.7738%,11.08%,56.0,11.600000000000001,1.0,5.6000000000000005,175.0,151.56
3,花生糖/芝麻粮任选1包(500g),19.270000000000003,36.7257%,30.71%,29.8,11.600000000000001,1.0,29.8,176.0,52.47
4,网纹瓜1只约3斤,19.270000000000003,36.7257%,37.02%,28.5,13.5,1.0,28.5,176.0,52.47
5,红肉菠萝蜜1斤,18.954000000000004,42.7527%,59.69%,25.3,18.8,1.0,25.3,177.0,44.334
6,佳沛阳光金果36#,18.954000000000004,42.7527%,17.53%,23.96,5.080000000000002,1.0,23.96,177.0,44.334
7,沙洲绿宝瓜1只-约3斤,18.534,16.5461%,-8.32%,69.0,-9.6,0.1,69.0,178.0,112.01400000000001
8,优选车厘子XL-1斤,18.534,16.5461%,47.01%,28.5,22.0,1.0,28.5,178.0,112.01400000000001
9,网纹瓜1只约3斤,18.534,16.5461%,35.12%,23.96,13.5,1.0,23.96,178.0,112.01400000000001
10,佳沛阳光金果36#,18.534,16.5461%,10.13%,30.0,5.080000000000002,1.0,3.0,178.0,112.01400000000001
11,奶油草莓,18.50076,17.1939%,-16.90%,69.0,-19.2,0.1,69.0,179.0,107.60076
12,优选车厘子XL-1斤,18.50076,17.1939%,53.46%,25.3,22.0,1.0,25.3,179.0,107.60076
13,红肉菠萝蜜1斤,18.50076,17.1939%,54.38%,21.4564,18.8,1.0,21.4564,179.0,107.60076
14,凯特芒青1个-约700g,18.50076,17.1939%,14.16%,38.0,8.856399999999999,1.0,3.8000000000000003,179.0,107.60076
15,酥极红薯片5包,18.400000000000006,15.8484%,-17.98%,69.0,-21.1,0.1,69.0,180.0,116.10000000000001
16,优选车厘子XL-1斤,18.400000000000006,15.8484%,44.60%,29.8,22.0,1.0,29.8,180.0,116.10000000000001
17,花生糖/芝麻粮任选1包(500g),18.400000000000006,15.8484%,27.28%,25.3,11.600000000000001,1.0,25.3,180.0,116.10000000000001
18,红肉菠萝蜜1斤,18.400000000000006,15.8484%,22.55%,49.0,18.8,1.0,4.9,180.0,116.10000000000001
19,酥极红薯片5包,18.11,14.5919%,-9.01%,133.0,-21.1,0.1,133.0,181.0,124.11000000000001
20,甄选车厘子（JJ）-1斤,18.11,14.5919%,61.41%,49.0,53.0,1.0,4.9,181.0,124.11000000000001
21,花生糖/芝麻粮任选1包(500g),18.014760000000003,26.6117%,28.22%,29.8,11.600000000000001,1.0,29.8,182.0,67.69476
